name,product,quantity,unitary_value
D. Trump,Product 4,957,0.7
D. Trump,Product 4,2287,0.7
Winston C,Product 8,162,1.15
John Doo,Product 4,42,0.7
Winston C,Product 5,408,0.75
Homer J. S.,Product 10,2498,5
Vlad P.,Product 8,1518,1.15
Homer J. S.,Product 1,445,0.5
Vlad P.,Product 9,1429,2
Jack S.,Product 8,722,1.15
Jack S.,Product 10,1337,5
John Doo,Product 2,1950,0.55
Winston C,Product 2,2333,0.55
John Doo,Product 1,2205,0.5
Bart S.,Product 4,1180,0.7
Meliana T.,Product 9,988,2
Meliana T.,Product 8,919,1.15
D. Trump,Product 1,1466,0.5
Jack S.,Product 9,2241,2
Bart S.,Product 9,2280,2
Vlad P.,Product 10,596,5
John Doo,Product 3,81,0.6
Winston C,Product 3,1146,0.6
John Doo,Product 2,1022,0.55
Meliana T.,Product 1,1058,0.5
Jack S.,Product 1,735,0.5
Winston C,Product 7,280,1
Winston C,Product 6,156,0.8
Winston C,Product 4,1183,0.7
Bart S.,Product 8,2489,1.15
Meliana T.,Product 2,2183,0.55
Homer J. S.,Product 7,516,1
Jack S.,Product 6,1241,0.8
Vlad P.,Product 10,1601,5
John Doo,Product 8,306,1.15
Meliana T.,Product 2,2240,0.55
Jack S.,Product 4,2045,0.7
Vlad P.,Product 3,508,0.6
Bart S.,Product 8,1809,1.15
Meliana T.,Product 5,1226,0.75
Homer J. S.,Product 2,1902,0.55
Homer J. S.,Product 5,289,0.75
D. Trump,Product 7,215,1
John Doo,Product 2,2493,0.55
Jack S.,Product 10,366,5
Meliana T.,Product 10,1740,5
Winston C,Product 8,2368,1.15
Meliana T.,Product 10,303,5
John Doo,Product 6,982,0.8
D. Trump,Product 9,2313,2
Jack S.,Product 4,1005,0.7
John Doo,Product 2,119,0.55
Homer J. S.,Product 3,684,0.6
Jack S.,Product 10,588,5
Bart S.,Product 9,2119,2
Meliana T.,Product 3,1592,0.6
D. Trump,Product 8,694,1.15
Vlad P.,Product 3,62,0.6
Bart S.,Product 1,156,0.5
D. Trump,Product 4,398,0.7
Jack S.,Product 8,526,1.15
John Doo,Product 6,1922,0.8
Bart S.,Product 3,75,0.6
Homer J. S.,Product 1,1572,0.5
Meliana T.,Product 9,727,2
Jack S.,Product 4,1813,0.7
John Doo,Product 9,2030,2
Jack S.,Product 2,1329,0.55
Vlad P.,Product 3,1593,0.6
Meliana T.,Product 10,2148,5
D. Trump,Product 7,842,1
John Doo,Product 1,1282,0.5
Vlad P.,Product 10,2358,5
Vlad P.,Product 1,1394,0.5
John Doo,Product 4,1815,0.7
Winston C,Product 10,85,5
John Doo,Product 1,1792,0.5
John Doo,Product 9,324,2
Bart S.,Product 2,889,0.55
Homer J. S.,Product 7,45,1
John Doo,Product 10,2348,5
John Doo,Product 4,2373,0.7
Bart S.,Product 7,902,1
Winston C,Product 1,1935,0.5
Winston C,Product 8,834,1.15
D. Trump,Product 7,250,1
John Doo,Product 5,31,0.75
Winston C,Product 3,1026,0.6
John Doo,Product 2,2153,0.55
Bart S.,Product 10,290,5
D. Trump,Product 4,20,0.7
John Doo,Product 1,1534,0.5
Jack S.,Product 4,903,0.7
Jack S.,Product 3,589,0.6
Vlad P.,Product 8,1288,1.15
Homer J. S.,Product 3,214,0.6
Jack S.,Product 6,585,0.8
Bart S.,Product 2,1984,0.55
D. Trump,Product 4,308,0.7
John Doo,Product 10,521,5
Homer J. S.,Product 3,145,0.6
Jack S.,Product 10,1574,5
Vlad P.,Product 2,115,0.55
Winston C,Product 1,834,0.5
Meliana T.,Product 3,1337,0.6
John Doo,Product 5,717,0.75
D. Trump,Product 4,47,0.7
Bart S.,Product 4,2393,0.7
Winston C,Product 7,1633,1
Winston C,Product 3,2371,0.6
D. Trump,Product 3,1439,0.6
Meliana T.,Product 5,942,0.75
Jack S.,Product 6,1661,0.8
D. Trump,Product 1,1655,0.5
Bart S.,Product 8,2325,1.15
D. Trump,Product 2,1673,0.55
Jack S.,Product 1,166,0.5
Vlad P.,Product 7,1158,1
Bart S.,Product 8,2224,1.15
D. Trump,Product 7,522,1
D. Trump,Product 2,2357,0.55
Homer J. S.,Product 5,169,0.75
Bart S.,Product 1,1015,0.5
Vlad P.,Product 9,1789,2
Winston C,Product 7,2310,1
John Doo,Product 5,504,0.75
Bart S.,Product 7,1800,1
Vlad P.,Product 8,734,1.15
Vlad P.,Product 10,1543,5
Meliana T.,Product 4,2059,0.7
Vlad P.,Product 3,714,0.6
Meliana T.,Product 3,560,0.6
Winston C,Product 5,1761,0.75
D. Trump,Product 1,1385,0.5
John Doo,Product 9,1495,2
John Doo,Product 4,376,0.7
Meliana T.,Product 5,2322,0.75
Winston C,Product 5,899,0.75
Jack S.,Product 3,1642,0.6
Bart S.,Product 4,893,0.7
D. Trump,Product 6,591,0.8
Meliana T.,Product 5,765,0.75
Homer J. S.,Product 2,207,0.55
Meliana T.,Product 10,2073,5
D. Trump,Product 4,2478,0.7
Jack S.,Product 3,1813,0.6
Jack S.,Product 7,465,1
D. Trump,Product 4,458,0.7
Homer J. S.,Product 8,797,1.15
Meliana T.,Product 7,1029,1
Homer J. S.,Product 4,1246,0.7
Bart S.,Product 3,1998,0.6
John Doo,Product 1,107,0.5
D. Trump,Product 4,2442,0.7
Vlad P.,Product 7,1154,1
John Doo,Product 6,1372,0.8
Vlad P.,Product 6,2345,0.8
D. Trump,Product 5,2096,0.75
Bart S.,Product 5,1676,0.75
Meliana T.,Product 9,2035,2
Homer J. S.,Product 7,422,1
D. Trump,Product 6,1540,0.8
Vlad P.,Product 5,2095,0.75
Meliana T.,Product 6,179,0.8
John Doo,Product 1,1448,0.5
D. Trump,Product 10,588,5
Jack S.,Product 1,1953,0.5
Vlad P.,Product 3,2474,0.6
Bart S.,Product 2,452,0.55
Vlad P.,Product 10,407,5
John Doo,Product 5,381,0.75
Homer J. S.,Product 6,800,0.8
John Doo,Product 3,1587,0.6
Bart S.,Product 5,2343,0.75
Meliana T.,Product 3,1850,0.6
Meliana T.,Product 7,2343,1
Jack S.,Product 5,1928,0.75
Winston C,Product 1,648,0.5
Winston C,Product 5,85,0.75
Homer J. S.,Product 1,1058,0.5
Winston C,Product 6,1642,0.8
Jack S.,Product 8,1233,1.15
Vlad P.,Product 5,1018,0.75
Meliana T.,Product 9,934,2
D. Trump,Product 5,366,0.75
John Doo,Product 1,14,0.5
Jack S.,Product 1,2256,0.5
Bart S.,Product 3,507,0.6
Vlad P.,Product 2,1340,0.55
Winston C,Product 4,1570,0.7
Winston C,Product 1,2227,0.5
Meliana T.,Product 9,1614,2
Vlad P.,Product 3,61,0.6
Bart S.,Product 5,1493,0.75
Jack S.,Product 4,1887,0.7
John Doo,Product 9,155,2
John Doo,Product 9,2367,2
Vlad P.,Product 8,1731,1.15
Winston C,Product 2,2397,0.55
Bart S.,Product 8,1208,1.15
Homer J. S.,Product 2,106,0.55
Meliana T.,Product 6,291,0.8
Bart S.,Product 7,1688,1
Winston C,Product 10,806,5
Jack S.,Product 3,2304,0.6
John Doo,Product 10,2158,5
John Doo,Product 2,65,0.55
D. Trump,Product 4,871,0.7
Meliana T.,Product 1,2168,0.5
Vlad P.,Product 8,83,1.15
John Doo,Product 3,2222,0.6
Bart S.,Product 8,1407,1.15
Meliana T.,Product 7,1030,1
John Doo,Product 10,804,5
Winston C,Product 1,706,0.5
John Doo,Product 6,242,0.8
D. Trump,Product 10,1358,5
Bart S.,Product 5,1189,0.75
Jack S.,Product 1,126,0.5
Homer J. S.,Product 7,91,1
Homer J. S.,Product 2,1230,0.55
Bart S.,Product 7,1081,1
D. Trump,Product 6,375,0.8
Vlad P.,Product 5,367,0.75
D. Trump,Product 9,1059,2
D. Trump,Product 5,49,0.75
Vlad P.,Product 3,130,0.6
Homer J. S.,Product 1,940,0.5
Vlad P.,Product 8,1679,1.15
Vlad P.,Product 4,655,0.7
Meliana T.,Product 5,1708,0.75
Bart S.,Product 4,2269,0.7
D. Trump,Product 4,1826,0.7
Jack S.,Product 5,550,0.75
Jack S.,Product 9,978,2
D. Trump,Product 4,1306,0.7
Vlad P.,Product 1,970,0.5
Homer J. S.,Product 8,2049,1.15
Vlad P.,Product 3,10,0.6
D. Trump,Product 8,881,1.15
Vlad P.,Product 6,1077,0.8
Winston C,Product 9,1122,2
Meliana T.,Product 6,2437,0.8
D. Trump,Product 8,459,1.15
Bart S.,Product 9,721,2
John Doo,Product 7,2416,1
Bart S.,Product 8,67,1.15
Homer J. S.,Product 8,2257,1.15
Meliana T.,Product 10,301,5
Vlad P.,Product 5,1249,0.75
Homer J. S.,Product 10,972,5
Meliana T.,Product 9,878,2
Jack S.,Product 5,1271,0.75
Jack S.,Product 6,1966,0.8
D. Trump,Product 7,359,1
John Doo,Product 7,743,1
Vlad P.,Product 7,1262,1
Meliana T.,Product 10,1489,5
Homer J. S.,Product 8,1365,1.15
Jack S.,Product 5,2155,0.75
Winston C,Product 4,112,0.7
Homer J. S.,Product 10,1763,5
Bart S.,Product 7,2246,1
Homer J. S.,Product 1,2143,0.5
Vlad P.,Product 2,1949,0.55
Bart S.,Product 3,2496,0.6
Homer J. S.,Product 6,851,0.8
Winston C,Product 6,302,0.8
Winston C,Product 9,334,2
Homer J. S.,Product 10,1605,5
Winston C,Product 6,2000,0.8
Meliana T.,Product 8,1012,1.15
John Doo,Product 5,1228,0.75
Meliana T.,Product 1,1409,0.5
Homer J. S.,Product 7,457,1
John Doo,Product 1,1139,0.5
John Doo,Product 7,587,1
Bart S.,Product 4,2181,0.7
Homer J. S.,Product 6,1090,0.8
Vlad P.,Product 10,1170,5
Bart S.,Product 5,474,0.75
John Doo,Product 2,563,0.55
Homer J. S.,Product 9,200,2
Bart S.,Product 8,1794,1.15
Bart S.,Product 1,858,0.5
Jack S.,Product 9,690,2
Meliana T.,Product 7,2103,1
Meliana T.,Product 9,586,2
Meliana T.,Product 7,2153,1
Bart S.,Product 4,76,0.7
Vlad P.,Product 1,1197,0.5
Jack S.,Product 1,2424,0.5
D. Trump,Product 2,1460,0.55
Winston C,Product 6,861,0.8
Bart S.,Product 3,2076,0.6
John Doo,Product 4,794,0.7
Winston C,Product 4,1744,0.7
Homer J. S.,Product 6,1475,0.8
Homer J. S.,Product 1,1750,0.5
John Doo,Product 7,38,1
Winston C,Product 10,2123,5
Winston C,Product 3,482,0.6
Bart S.,Product 4,1117,0.7
Meliana T.,Product 1,399,0.5
Vlad P.,Product 3,769,0.6
Meliana T.,Product 7,1710,1
Meliana T.,Product 8,2297,1.15
Homer J. S.,Product 5,174,0.75
Bart S.,Product 8,815,1.15
Bart S.,Product 5,1818,0.75
Vlad P.,Product 5,1307,0.75
Vlad P.,Product 2,124,0.55
Vlad P.,Product 3,1521,0.6
Meliana T.,Product 7,1402,1
Winston C,Product 3,2153,0.6
D. Trump,Product 10,1515,5
Bart S.,Product 1,2259,0.5
Vlad P.,Product 3,2337,0.6
Meliana T.,Product 8,203,1.15
D. Trump,Product 2,576,0.55
Meliana T.,Product 1,602,0.5
Winston C,Product 9,386,2
Homer J. S.,Product 5,413,0.75
Meliana T.,Product 1,438,0.5
D. Trump,Product 9,1452,2
John Doo,Product 8,1285,1.15
Winston C,Product 8,313,1.15
Homer J. S.,Product 9,329,2
D. Trump,Product 9,23,2
D. Trump,Product 10,1054,5
Jack S.,Product 1,1964,0.5
John Doo,Product 7,369,1
John Doo,Product 5,1958,0.75
Meliana T.,Product 1,176,0.5
Homer J. S.,Product 4,81,0.7
Homer J. S.,Product 2,212,0.55
Jack S.,Product 3,235,0.6
John Doo,Product 8,2370,1.15
Bart S.,Product 6,2400,0.8
Bart S.,Product 5,292,0.75
John Doo,Product 9,2173,2
Bart S.,Product 4,1998,0.7
Meliana T.,Product 6,917,0.8
Vlad P.,Product 9,319,2
Vlad P.,Product 7,563,1
Bart S.,Product 3,1219,0.6
Winston C,Product 6,810,0.8
Jack S.,Product 7,394,1
D. Trump,Product 8,515,1.15
D. Trump,Product 5,2485,0.75
Bart S.,Product 3,1450,0.6
D. Trump,Product 6,1868,0.8
Meliana T.,Product 2,1589,0.55
John Doo,Product 8,2241,1.15
Bart S.,Product 7,1197,1
Homer J. S.,Product 10,1405,5
John Doo,Product 9,1092,2
Bart S.,Product 7,521,1
Homer J. S.,Product 7,2428,1
John Doo,Product 1,1614,0.5
Jack S.,Product 4,2391,0.7
Meliana T.,Product 5,1344,0.75
Bart S.,Product 6,2297,0.8
Bart S.,Product 1,2260,0.5
Bart S.,Product 3,859,0.6
John Doo,Product 2,1210,0.55
Homer J. S.,Product 10,1299,5
Meliana T.,Product 8,924,1.15
Jack S.,Product 4,1343,0.7
John Doo,Product 10,1697,5
D. Trump,Product 1,648,0.5
Meliana T.,Product 6,1433,0.8
John Doo,Product 7,513,1
Winston C,Product 10,2427,5
D. Trump,Product 5,1475,0.75
John Doo,Product 5,1274,0.75
Winston C,Product 3,970,0.6
D. Trump,Product 1,133,0.5
Winston C,Product 8,1745,1.15
John Doo,Product 3,2495,0.6
D. Trump,Product 1,1740,0.5
John Doo,Product 3,562,0.6
Meliana T.,Product 7,58,1
Meliana T.,Product 8,170,1.15
Meliana T.,Product 6,948,0.8
Vlad P.,Product 7,2204,1
D. Trump,Product 6,988,0.8
Jack S.,Product 9,482,2
Meliana T.,Product 1,1051,0.5
Vlad P.,Product 1,67,0.5
Meliana T.,Product 4,703,0.7
Bart S.,Product 2,1940,0.55
Vlad P.,Product 4,187,0.7
Jack S.,Product 3,1657,0.6
Winston C,Product 3,2280,0.6
Vlad P.,Product 7,220,1
Homer J. S.,Product 2,178,0.55
Jack S.,Product 7,2384,1
Jack S.,Product 5,1150,0.75
Vlad P.,Product 10,642,5
Vlad P.,Product 9,1057,2
John Doo,Product 8,754,1.15
Bart S.,Product 1,1544,0.5
D. Trump,Product 1,1544,0.5
Winston C,Product 9,2201,2
Vlad P.,Product 5,690,0.75
Jack S.,Product 1,1845,0.5
Jack S.,Product 7,1219,1
Vlad P.,Product 4,1532,0.7
Jack S.,Product 9,288,2
Meliana T.,Product 3,81,0.6
Meliana T.,Product 4,846,0.7
John Doo,Product 6,1730,0.8
Bart S.,Product 2,439,0.55
Meliana T.,Product 1,195,0.5
Bart S.,Product 1,1977,0.5
John Doo,Product 10,865,5
Jack S.,Product 5,1112,0.75
John Doo,Product 6,846,0.8
Jack S.,Product 4,413,0.7
Winston C,Product 8,498,1.15
Meliana T.,Product 8,585,1.15
Winston C,Product 6,2471,0.8
John Doo,Product 6,1719,0.8
Bart S.,Product 7,1887,1
D. Trump,Product 5,73,0.75
Winston C,Product 2,1287,0.55
John Doo,Product 8,2202,1.15
Vlad P.,Product 8,1384,1.15
Winston C,Product 2,1145,0.55
Homer J. S.,Product 2,197,0.55
D. Trump,Product 3,740,0.6
Meliana T.,Product 2,1445,0.55
Meliana T.,Product 2,565,0.55
Winston C,Product 2,2345,0.55
Jack S.,Product 6,194,0.8
John Doo,Product 10,1830,5
Meliana T.,Product 9,2007,2
Bart S.,Product 2,690,0.55
Vlad P.,Product 7,352,1
John Doo,Product 8,530,1.15
Meliana T.,Product 10,1719,5
John Doo,Product 6,1979,0.8
Winston C,Product 1,1734,0.5
John Doo,Product 6,1661,0.8
Homer J. S.,Product 3,744,0.6
Homer J. S.,Product 7,2438,1
Homer J. S.,Product 8,416,1.15
John Doo,Product 6,1244,0.8
D. Trump,Product 2,1679,0.55
Homer J. S.,Product 1,603,0.5
Jack S.,Product 3,959,0.6
Jack S.,Product 10,1725,5
John Doo,Product 2,200,0.55
Meliana T.,Product 1,340,0.5
Winston C,Product 1,1480,0.5
Vlad P.,Product 8,1011,1.15
Winston C,Product 7,1088,1
D. Trump,Product 3,306,0.6
Winston C,Product 8,2423,1.15
Meliana T.,Product 1,1312,0.5
D. Trump,Product 2,1346,0.55
John Doo,Product 2,723,0.55
John Doo,Product 1,2123,0.5
John Doo,Product 9,1359,2
Jack S.,Product 3,2484,0.6
Vlad P.,Product 8,1284,1.15
Vlad P.,Product 4,2437,0.7
Meliana T.,Product 6,2085,0.8
Meliana T.,Product 10,1504,5
Bart S.,Product 7,499,1
D. Trump,Product 3,2425,0.6
Jack S.,Product 4,1690,0.7
Vlad P.,Product 9,648,2
Jack S.,Product 7,2226,1
John Doo,Product 1,444,0.5
Jack S.,Product 10,1309,5
John Doo,Product 6,647,0.8
Homer J. S.,Product 4,1408,0.7
Winston C,Product 4,2284,0.7
John Doo,Product 9,182,2
Meliana T.,Product 5,1413,0.75
John Doo,Product 3,1290,0.6
D. Trump,Product 2,2447,0.55
Jack S.,Product 3,474,0.6
D. Trump,Product 2,2188,0.55
Homer J. S.,Product 2,853,0.55
Homer J. S.,Product 7,2108,1
Homer J. S.,Product 5,474,0.75
Vlad P.,Product 7,854,1
Jack S.,Product 9,1235,2
Bart S.,Product 3,1752,0.6
D. Trump,Product 7,2463,1
Homer J. S.,Product 5,1463,0.75
D. Trump,Product 6,132,0.8
Jack S.,Product 2,820,0.55
Meliana T.,Product 7,1636,1
Homer J. S.,Product 10,1228,5
Winston C,Product 4,1231,0.7
John Doo,Product 10,2147,5
Meliana T.,Product 9,1619,2
John Doo,Product 7,1561,1
Bart S.,Product 6,957,0.8
Vlad P.,Product 4,773,0.7
Vlad P.,Product 6,2109,0.8
D. Trump,Product 2,692,0.55
Homer J. S.,Product 5,376,0.75
Bart S.,Product 7,2417,1
Jack S.,Product 8,1057,1.15
Meliana T.,Product 9,615,2
Bart S.,Product 2,150,0.55
D. Trump,Product 10,1588,5
D. Trump,Product 5,1516,0.75
Homer J. S.,Product 9,1182,2
Meliana T.,Product 8,199,1.15
Meliana T.,Product 10,975,5
Homer J. S.,Product 7,1390,1
D. Trump,Product 4,996,0.7
John Doo,Product 7,2145,1
Winston C,Product 6,65,0.8
Winston C,Product 9,632,2
D. Trump,Product 4,1927,0.7
Winston C,Product 10,914,5
Vlad P.,Product 4,1563,0.7
D. Trump,Product 2,535,0.55
John Doo,Product 4,1343,0.7
Bart S.,Product 2,1577,0.55
John Doo,Product 10,933,5
D. Trump,Product 10,435,5
Winston C,Product 9,1892,2
D. Trump,Product 7,456,1
Meliana T.,Product 7,386,1
Bart S.,Product 7,160,1
Vlad P.,Product 5,2139,0.75
Jack S.,Product 4,629,0.7
Winston C,Product 1,1778,0.5
Homer J. S.,Product 5,914,0.75
D. Trump,Product 8,1802,1.15
John Doo,Product 6,618,0.8
Jack S.,Product 4,392,0.7
Bart S.,Product 1,1734,0.5
Meliana T.,Product 7,1977,1
Homer J. S.,Product 9,1665,2
Meliana T.,Product 3,2074,0.6
Homer J. S.,Product 7,633,1
Winston C,Product 8,1311,1.15
Bart S.,Product 5,2245,0.75
Bart S.,Product 3,1993,0.6
Jack S.,Product 3,1654,0.6
Winston C,Product 3,1541,0.6
Winston C,Product 1,1370,0.5
Homer J. S.,Product 5,1182,0.75
D. Trump,Product 2,1293,0.55
Winston C,Product 10,2192,5
Bart S.,Product 2,1957,0.55
Bart S.,Product 5,687,0.75
Meliana T.,Product 6,1548,0.8
D. Trump,Product 3,776,0.6
John Doo,Product 5,1318,0.75
Vlad P.,Product 5,2484,0.75
Homer J. S.,Product 6,354,0.8
Vlad P.,Product 2,1900,0.55
Vlad P.,Product 9,1178,2
Jack S.,Product 1,713,0.5
John Doo,Product 2,1272,0.55
Homer J. S.,Product 7,739,1
Winston C,Product 5,1666,0.75
John Doo,Product 2,1345,0.55
Meliana T.,Product 5,871,0.75
D. Trump,Product 9,609,2
D. Trump,Product 3,2449,0.6
Bart S.,Product 7,798,1
Winston C,Product 9,312,2
Meliana T.,Product 10,1705,5
D. Trump,Product 8,2308,1.15
Homer J. S.,Product 5,6,0.75
Bart S.,Product 9,769,2
Meliana T.,Product 7,580,1
Vlad P.,Product 6,291,0.8
Homer J. S.,Product 7,2336,1
Homer J. S.,Product 10,1359,5
Jack S.,Product 4,1786,0.7
D. Trump,Product 1,2375,0.5
D. Trump,Product 4,1443,0.7
Homer J. S.,Product 6,2214,0.8
Homer J. S.,Product 4,807,0.7
Meliana T.,Product 1,2016,0.5
Meliana T.,Product 6,441,0.8
Meliana T.,Product 4,2076,0.7
Bart S.,Product 9,2255,2
Jack S.,Product 3,282,0.6
Bart S.,Product 6,2403,0.8
Jack S.,Product 1,2252,0.5
Bart S.,Product 1,1737,0.5
Meliana T.,Product 10,891,5
Bart S.,Product 3,1510,0.6
Meliana T.,Product 7,1175,1
Vlad P.,Product 9,576,2
Homer J. S.,Product 9,2132,2
Winston C,Product 9,524,2
Bart S.,Product 9,516,2
John Doo,Product 9,1023,2
Jack S.,Product 7,1216,1
Bart S.,Product 9,2329,2
Bart S.,Product 6,598,0.8
Jack S.,Product 8,2487,1.15
Bart S.,Product 7,1726,1
Jack S.,Product 3,1197,0.6
John Doo,Product 9,2055,2
Jack S.,Product 9,2486,2
John Doo,Product 5,428,0.75
Vlad P.,Product 1,388,0.5
Bart S.,Product 3,2027,0.6
D. Trump,Product 4,1149,0.7
Jack S.,Product 2,520,0.55
John Doo,Product 1,339,0.5
Meliana T.,Product 3,471,0.6
Winston C,Product 9,2172,2
John Doo,Product 9,429,2
D. Trump,Product 10,244,5
D. Trump,Product 3,559,0.6
Winston C,Product 8,306,1.15
Jack S.,Product 8,2039,1.15
John Doo,Product 7,1022,1
Jack S.,Product 5,1909,0.75
Homer J. S.,Product 9,150,2
John Doo,Product 10,1515,5
D. Trump,Product 2,1015,0.55
Meliana T.,Product 6,1745,0.8
Bart S.,Product 4,2180,0.7
Meliana T.,Product 7,100,1
D. Trump,Product 9,2169,2
Meliana T.,Product 5,177,0.75
D. Trump,Product 8,2432,1.15
Vlad P.,Product 6,2026,0.8
Meliana T.,Product 6,2056,0.8
D. Trump,Product 8,1703,1.15
Vlad P.,Product 3,1168,0.6
Vlad P.,Product 9,1402,2
D. Trump,Product 7,773,1
John Doo,Product 6,1043,0.8
Jack S.,Product 1,1066,0.5
Jack S.,Product 7,133,1
D. Trump,Product 9,2314,2
D. Trump,Product 6,1878,0.8
Winston C,Product 8,915,1.15
Vlad P.,Product 2,2076,0.55
Winston C,Product 6,905,0.8
Winston C,Product 8,766,1.15
D. Trump,Product 5,1086,0.75
Bart S.,Product 3,120,0.6
Bart S.,Product 3,1049,0.6
Bart S.,Product 2,2442,0.55
Winston C,Product 3,1705,0.6
Vlad P.,Product 9,415,2
Jack S.,Product 6,1412,0.8
Jack S.,Product 2,2178,0.55
John Doo,Product 8,1615,1.15
Vlad P.,Product 8,2427,1.15
Meliana T.,Product 5,305,0.75
Vlad P.,Product 9,2353,2
Vlad P.,Product 2,1257,0.55
D. Trump,Product 10,1660,5
Bart S.,Product 1,1492,0.5
D. Trump,Product 2,1933,0.55
Meliana T.,Product 7,1420,1
D. Trump,Product 7,544,1
Vlad P.,Product 8,2330,1.15
Homer J. S.,Product 1,457,0.5
D. Trump,Product 4,335,0.7
John Doo,Product 9,1189,2
Jack S.,Product 8,2019,1.15
D. Trump,Product 5,841,0.75
Bart S.,Product 8,2235,1.15
Bart S.,Product 3,697,0.6
Meliana T.,Product 3,2039,0.6
Bart S.,Product 10,1292,5
D. Trump,Product 3,540,0.6
John Doo,Product 6,2095,0.8
Meliana T.,Product 1,977,0.5
D. Trump,Product 1,934,0.5
D. Trump,Product 7,1837,1
Vlad P.,Product 3,635,0.6
Vlad P.,Product 2,1915,0.55
Meliana T.,Product 2,1819,0.55
Homer J. S.,Product 8,908,1.15
Bart S.,Product 9,1773,2
Homer J. S.,Product 2,1925,0.55
John Doo,Product 10,1685,5
John Doo,Product 6,1682,0.8
Bart S.,Product 2,2228,0.55
Jack S.,Product 4,1953,0.7
Meliana T.,Product 8,2407,1.15
Meliana T.,Product 6,18,0.8
D. Trump,Product 9,13,2
John Doo,Product 10,1421,5
Winston C,Product 8,1389,1.15
D. Trump,Product 9,370,2
Bart S.,Product 9,341,2
Winston C,Product 6,1303,0.8
John Doo,Product 9,1266,2
Homer J. S.,Product 8,452,1.15
Homer J. S.,Product 6,1314,0.8
Meliana T.,Product 6,448,0.8
Homer J. S.,Product 10,2457,5
Bart S.,Product 9,2335,2
D. Trump,Product 7,60,1
D. Trump,Product 8,1579,1.15
Winston C,Product 4,1079,0.7
John Doo,Product 6,543,0.8
Meliana T.,Product 1,1741,0.5
Homer J. S.,Product 9,577,2
Bart S.,Product 8,1286,1.15
Winston C,Product 1,872,0.5
Vlad P.,Product 5,86,0.75
Homer J. S.,Product 5,1521,0.75
Bart S.,Product 5,1353,0.75
D. Trump,Product 3,2206,0.6
John Doo,Product 8,385,1.15
Bart S.,Product 3,2434,0.6
Jack S.,Product 8,780,1.15
Jack S.,Product 2,482,0.55
John Doo,Product 6,316,0.8
Meliana T.,Product 4,1555,0.7
Homer J. S.,Product 5,84,0.75
Jack S.,Product 4,2399,0.7
Bart S.,Product 10,1565,5
Bart S.,Product 3,2354,0.6
Winston C,Product 2,2219,0.55
Winston C,Product 10,689,5
Winston C,Product 8,1284,1.15
D. Trump,Product 8,2310,1.15
Jack S.,Product 9,64,2
Jack S.,Product 1,2473,0.5
Homer J. S.,Product 5,2488,0.75
Winston C,Product 2,1159,0.55
Bart S.,Product 8,2367,1.15
Bart S.,Product 4,1109,0.7
D. Trump,Product 5,341,0.75
Vlad P.,Product 9,2031,2
Bart S.,Product 5,1873,0.75
Bart S.,Product 7,1154,1
Meliana T.,Product 6,161,0.8
Jack S.,Product 10,633,5
Meliana T.,Product 4,141,0.7
Jack S.,Product 6,127,0.8
Meliana T.,Product 9,1954,2
Winston C,Product 7,96,1
Winston C,Product 8,2066,1.15
Bart S.,Product 9,1561,2
Jack S.,Product 3,1816,0.6
Jack S.,Product 6,2021,0.8
Jack S.,Product 4,1332,0.7
Bart S.,Product 5,1538,0.75
Jack S.,Product 8,137,1.15
Meliana T.,Product 9,1153,2
Bart S.,Product 8,2082,1.15
Bart S.,Product 7,2193,1
John Doo,Product 2,1451,0.55
Vlad P.,Product 2,1028,0.55
John Doo,Product 6,2403,0.8
Jack S.,Product 2,1607,0.55
Winston C,Product 7,2465,1
Vlad P.,Product 1,1805,0.5
Vlad P.,Product 3,974,0.6
Vlad P.,Product 9,1507,2
Bart S.,Product 6,14,0.8
Jack S.,Product 5,1712,0.75
Meliana T.,Product 2,176,0.55
Bart S.,Product 4,427,0.7
Homer J. S.,Product 4,2429,0.7
John Doo,Product 2,1728,0.55
Vlad P.,Product 3,1597,0.6
Vlad P.,Product 4,1159,0.7
Winston C,Product 5,2075,0.75
Winston C,Product 7,505,1
D. Trump,Product 3,2012,0.6
Winston C,Product 1,1066,0.5
John Doo,Product 3,1821,0.6
Vlad P.,Product 10,2158,5
D. Trump,Product 5,495,0.75
Jack S.,Product 9,2083,2
D. Trump,Product 2,1072,0.55
John Doo,Product 1,2056,0.5
D. Trump,Product 6,1764,0.8
Homer J. S.,Product 3,1684,0.6
Bart S.,Product 7,869,1
Bart S.,Product 7,2110,1
D. Trump,Product 2,907,0.55
D. Trump,Product 10,2336,5
D. Trump,Product 10,992,5
Vlad P.,Product 6,81,0.8
Winston C,Product 5,484,0.75
Bart S.,Product 6,1637,0.8
Homer J. S.,Product 1,2032,0.5
Winston C,Product 7,1683,1
D. Trump,Product 3,1589,0.6
Homer J. S.,Product 7,839,1
John Doo,Product 5,499,0.75
Meliana T.,Product 9,1097,2
Bart S.,Product 1,579,0.5
Meliana T.,Product 10,2189,5
Jack S.,Product 6,1539,0.8
Homer J. S.,Product 3,1715,0.6
D. Trump,Product 3,1586,0.6
Meliana T.,Product 3,1574,0.6
John Doo,Product 2,1805,0.55
Vlad P.,Product 8,245,1.15
Jack S.,Product 2,735,0.55
Winston C,Product 5,300,0.75
D. Trump,Product 2,1009,0.55
John Doo,Product 5,1006,0.75
